2021-01-17 at 15:28:37 EET : WeatherInformation{longitude=24.15, latitude=45.8, iconId='03d', description='scattered clouds', temperature=-4.44, pressure=1014.0, humidity=68.0, windSpeed=0.51}
2021-01-17 at 15:36:42 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.71, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 15:36:42 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.71, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 15:36:46 EET : WeatherInformation{longitude=2.3514, latitude=48.857, iconId='04d', description='broken clouds', temperature=7.08, pressure=1024.0, humidity=81.0, windSpeed=4.63}
2021-01-17 at 15:48:30 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.7, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 15:48:30 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.7, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 15:48:33 EET : WeatherInformation{longitude=13.2344, latitude=-8.8383, iconId='03d', description='scattered clouds', temperature=30.0, pressure=1008.0, humidity=58.0, windSpeed=6.69}
2021-01-17 at 15:48:36 EET : WeatherInformation{longitude=15.7333, latitude=-12.7667, iconId='04d', description='broken clouds', temperature=29.0, pressure=1017.0, humidity=32.0, windSpeed=2.57}
2021-01-17 at 15:48:38 EET : WeatherInformation{longitude=13.2344, latitude=-8.8383, iconId='03d', description='scattered clouds', temperature=30.0, pressure=1008.0, humidity=58.0, windSpeed=6.69}
2021-01-17 at 15:48:40 EET : WeatherInformation{longitude=37.6173, latitude=55.7558, iconId='01n', description='clear sky', temperature=-18.67, pressure=1014.0, humidity=78.0, windSpeed=3.0}
2021-01-17 at 15:48:43 EET : WeatherInformation{longitude=82.9167, latitude=55.0333, iconId='04n', description='broken clouds', temperature=-9.0, pressure=1015.0, humidity=79.0, windSpeed=5.0}
